gene_name	exons_length	exons_GC_content	No_of_exons
ABCC8	4978	0.581157091201	39
ABCC9	8462	0.385133538171	39
ABCD1	3664	0.658296943231	10
ABCD2	5341	0.361730013106	10
ABCD3	3797	0.387937845668	24
ABCD4	3157	0.510928096294	19
ABCE1	4321	0.372136079611	19
ABCF1	24248	0.527136258661	179
ABCF2	3952	0.52758097166	17
ABCF3	2572	0.57465007776	21
ABCG1	3792	0.544567510549	22
ABCG2	4431	0.40983976529	16
ABCG4	3935	0.6	16
ABCG5	2740	0.500729927007	13
ABCG8	2665	0.556848030019	13
ABHD1	1446	0.57468879668	9
ABHD10	2644	0.381240544629	5
ABHD11	3040	0.594078947368	11
ABHD11-AS1	473	0.638477801268	4
ABHD12	2411	0.584819576939	14
ABHD12B	1708	0.453161592506	13
ABHD13	5302	0.338551490004	2
ABHD14A	1108	0.628158844765	5
ABHD14A-ACY1	1879	0.608834486429	17
ABHD14B	2676	0.594170403587	5
ABHD15	3355	0.566020864382	2
ABHD16A	17367	0.569701157367	147
ABHD16B	1776	0.676801801802	1
ABHD2	9133	0.475856783094	15
ABHD3	2064	0.421027131783	9
ABHD4	2509	0.552411319251	7
ABHD5	5353	0.374556323557	7
ABHD6	2393	0.521521103218	9
ABHD8	2090	0.664593301435	5
ABI1	3950	0.398481012658	14
ABI2	6480	0.42299382716	10
ABI3	2259	0.623284639221	9
ABI3BP	4473	0.414486921529	35
ABL1	5963	0.568002683213	12
ABL2	22455	0.446626586506	16
ABLIM1	8303	0.468625797904	25
ABLIM2	5113	0.570115392138	24
ABLIM3	4335	0.524567474048	24
ABO	1579	0.590246991767	7
ABP1	2428	0.606672158155	5
ABR	5925	0.579240506329	25
ABRA	2754	0.416122004357	2
ABT1	2263	0.494476358816	3
ABTB1	2078	0.626082771896	14
ABTB2	4903	0.606771364471	17
ACAA1	2358	0.58481764207	13
ACAA2	1934	0.483971044467	10
ACACA	11380	0.488840070299	63
ACACB	9249	0.547843010055	52
ACAD10	4107	0.54467981495	22
ACAD11	3556	0.453599550056	20
ACAD8	2201	0.505224897774	11
ACAD9	3103	0.553335481792	19
ACADL	2490	0.415662650602	11
ACADM	2703	0.407695153533	13
ACADS	1917	0.643192488263	10
ACADSB	5941	0.394209729002	11
ACADVL	2288	0.584353146853	20
ACAN	8840	0.576470588235	18
ACAP1	2508	0.611642743222	22
ACAP2	7170	0.375174337517	23
ACAP3	3759	0.653631284916	24
ACAT1	2134	0.420805998126	12
ACAT2	1551	0.474532559639	9
ACBD3	3565	0.417391304348	8
ACBD4	3437	0.614780331685	17
ACBD5	4066	0.412690605017	14
ACBD6	1616	0.555074257426	8
ACBD7	3370	0.417507418398	4
ACCN1	4271	0.600561929291	11
ACCN2	4008	0.573852295409	13
ACCN3	2271	0.627917217085	12
ACCN4	2901	0.633229920717	10
ACCN5	1692	0.401300236407	10
ACCS	2317	0.586965904186	16
ACCSL	1820	0.518681318681	14
ACD	2253	0.630270750111	14
ACE	5219	0.605288369419	26
ACE2	3507	0.419161676647	19
ACER1	1088	0.569852941176	6
ACER2	2852	0.473702664797	6
ACER3	4387	0.391155687258	11
ACHE	3299	0.649287662928	6
ACIN1	5391	0.534965683547	23
ACLY	4353	0.522857799219	29
ACMSD	1250	0.456	10
ACN9	2057	0.43558580457	2
ACO1	3548	0.47801578354	21
ACO2	2741	0.560744253922	18
ACOT1	1603	0.585776668746	3
ACOT11	3391	0.596284281923	18
ACOT12	1989	0.464052287582	15
ACOT13	4393	0.415661279308	4
ACOT2	2408	0.546926910299	5
ACOT4	1632	0.576593137255	3
ACOT6	1004	0.431274900398	2
ACOT7	2389	0.625784847216	12
ACOT8	1171	0.596925704526	6
ACOT9	1727	0.467863346844	16
ACOX1	8389	0.466682560496	16
ACOX2	2309	0.544391511477	15
ACOX3	2874	0.536534446764	18
ACOXL	2373	0.563421828909	18
ACP1	2139	0.45628798504	9
ACP2	2519	0.579198094482	12
ACP5	1970	0.606598984772	9
ACP6	1808	0.545907079646	10
ACPL2	3181	0.441685004715	8
ACPP	3988	0.439317953862	12
ACPT	1347	0.671121009651	11
ACR	1370	0.556204379562	5
ACRBP	1886	0.554612937434	10
ACRC	3178	0.467275015733	13
ACRV1	2177	0.488745980707	8
ACSBG1	3057	0.551193981027	15
ACSBG2	2712	0.481932153392	15
ACSF2	2239	0.570343903528	16
ACSF3	4532	0.626875551633	15
ACSL1	3805	0.459921156373	21
ACSL3	4361	0.389818848888	17
ACSL4	5572	0.375987078248	18
ACSL5	3744	0.460737179487	23
ACSL6	7125	0.426245614035	26
ACSM1	2051	0.513895660653	13
ACSM2A	2964	0.468623481781	15
ACSM2B	2441	0.485456780008	15
ACSM3	2372	0.415261382799	15
ACSM4	1743	0.489959839357	13
ACSM5	2419	0.536585365854	14
ACSS1	4906	0.56033428455	18
ACSS2	3193	0.542123394926	20
ACSS3	3033	0.452027695351	16
ACTA1	1492	0.590482573727	7
ACTA2	1851	0.563479200432	10
ACTB	1812	0.551876379691	6
ACTBL2	2794	0.401932712956	1
ACTC1	3693	0.453290008123	7
ACTG1	2952	0.54945799458	9
ACTG2	1331	0.54169797145	9
ACTL10	2028	0.664694280079	1
ACTL6A	2158	0.456904541242	16
ACTL6B	1531	0.595689092097	14
ACTL7A	1433	0.574319609211	1
ACTL7B	1407	0.634683724236	1
ACTL8	1861	0.56528747985	3
ACTL9	1422	0.660337552743	1
ACTN1	3791	0.553152202585	22
ACTN2	4528	0.487411660777	21
ACTN3	2857	0.598179908995	21
ACTN4	3954	0.585735963581	21
ACTR10	2441	0.403113478083	13
ACTR1A	2873	0.553080403759	11
ACTR1B	2258	0.593002657219	11
ACTR2	3937	0.384048768098	10
ACTR3	2712	0.409292035398	12
ACTR3B	2199	0.483856298317	12
ACTR3BP2	1338	0.397608370703	1
ACTR3BP5	1645	0.401215805471	1
ACTR3C	1420	0.496478873239	9
ACTR5	2479	0.536910044373	9
ACTR6	1755	0.353846153846	11
ACTR8	3628	0.442943770673	13
ACTRT1	1442	0.486823855756	1
ACTRT2	1422	0.614627285513	1
ACVR1	3112	0.454370179949	12
ACVR1B	4807	0.526731849386	11
ACVR1C	9077	0.36190371268	10
ACVR2A	5244	0.365560640732	11
ACVR2B	11373	0.443682405698	11
ACVRL1	4470	0.586129753915	11
ACY1	2090	0.625358851675	18
ACY3	1300	0.617692307692	8
ACYP1	686	0.411078717201	4
ACYP2	1222	0.430441898527	4
ADA	1532	0.577023498695	12
ADAD1	2690	0.455762081784	17
ADAD2	2455	0.66517311609	12
ADAL	4106	0.423283000487	14
ADAM1	2840	0.452464788732	1
ADAM10	3927	0.422205245735	16
ADAM11	4402	0.614039073149	27
ADAM12	6981	0.487465979086	24
ADAM15	3039	0.627509049029	24
ADAM17	3553	0.436813960034	19
ADAM18	3446	0.358096343587	21
ADAM19	6481	0.537417065268	23
ADAM2	2642	0.380015140045	21
ADAM20	2792	0.425859598854	2
ADAM21	2664	0.441441441441	2
ADAM21P1	2049	0.451439726696	1
ADAM22	9577	0.404093139814	33
ADAM23	3050	0.510491803279	26
ADAM28	3874	0.407330924109	24
ADAM29	3325	0.431578947368	5
ADAM30	2992	0.44050802139	1
ADAM32	2727	0.419875320865	25
ADAM33	3519	0.630292696789	22
ADAM3A	2633	0.404861374858	22
ADAM5P	1705	0.377126099707	15
ADAM6	1842	0.517915309446	2
ADAM7	3396	0.401354534747	22
ADAM8	3616	0.648783185841	25
ADAM9	4098	0.38579795022	22
ADAMDEC1	2438	0.396636587367	15
ADAMTS1	4651	0.503977639217	9
ADAMTS10	4237	0.652348359688	26
ADAMTS12	4954	0.524626564392	24
ADAMTS13	5461	0.6374290423	32
ADAMTS14	5415	0.617543859649	23
ADAMTS15	5676	0.597956307259	8
ADAMTS16	4974	0.542822677925	23
ADAMTS17	6331	0.568788501027	22
ADAMTS18	5913	0.481650600372	23
ADAMTS19	5089	0.454116722342	23
ADAMTS2	7070	0.57171145686	23
ADAMTS20	5733	0.434850863422	39
ADAMTS3	5822	0.414290621779	22
ADAMTS4	4332	0.581486611265	9
ADAMTS5	9663	0.41840008279	8
ADAMTS6	7268	0.42487616951	25
ADAMTS7	5490	0.657194899818	24
ADAMTS8	3663	0.634452634453	9
ADAMTS9	7312	0.473468271335	40
ADAMTS9-AS2	2228	0.434919210054	6
ADAMTSL1	8081	0.5430021037	30
ADAMTSL2	4133	0.63730946044	20
ADAMTSL3	7335	0.473346966599	30
ADAMTSL4	4476	0.625111706881	20
ADAMTSL5	2857	0.622681134057	12
ADAP1	2322	0.663652024117	11
ADAP2	2749	0.532921062204	11
ADAR	7374	0.508001084893	19
ADARB1	9812	0.524765593151	16
ADARB2	8426	0.555305008308	10
ADARB2-AS1	644	0.555900621118	2
ADAT1	3658	0.477036632039	12
ADAT2	6253	0.392931392931	6
ADAT3	1580	0.718987341772	2
ADC	2182	0.593950504125	12
ADCK1	2234	0.561772605192	11
ADCK2	2364	0.600253807107	8
ADCK3	2924	0.587209302326	15
ADCK4	2497	0.625150180216	16
ADCK5	1961	0.65119836818	15
ADCY1	12498	0.546967514802	20
ADCY10	5421	0.43737317838	33
ADCY2	6553	0.490004578056	25
ADCY3	4396	0.567561419472	21
ADCY4	4182	0.614777618364	28
ADCY5	6257	0.584785040754	22
ADCY6	10085	0.570153693604	24
ADCY7	6138	0.540241120886	25
ADCY8	4101	0.533528407705	18
ADCY9	7727	0.57046719296	11
ADCYAP1	3388	0.440968122786	6
ADCYAP1R1	6656	0.532301682692	18
ADD1	4333	0.540733902608	17
ADD2	6033	0.542018896072	19
ADD3	4628	0.403630077787	16
ADGB	5289	0.406693136699	36
ADH1A	1500	0.449333333333	9
ADH1B	2682	0.405294556301	9
ADH1C	1473	0.456890699253	9
ADH4	1979	0.404244567964	9
ADH5	2643	0.414301929625	9
ADH6	3145	0.430842607313	10
ADH7	2397	0.390070921986	10
ADHFE1	1895	0.486015831135	14
ADI1	1676	0.458830548926	4
ADIG	770	0.576623376623	3
ADIPOQ	4629	0.441348023331	4
ADIPOR1	3209	0.489872234341	11
ADIPOR2	3965	0.469356872636	8
ADK	2439	0.429684296843	12
ADM	1449	0.558316080055	4
ADM2	4434	0.636445647271	4
ADNP	4713	0.440271589221	5
ADNP2	5387	0.479116391312	4
ADO	3724	0.481740064447	1
ADORA1	2919	0.62076053443	4
ADORA2A	2566	0.605611847233	3
ADORA2B	1885	0.550132625995	2
ADORA3	3408	0.479460093897	8
ADPGK	4628	0.514477095938	9
ADPRH	3439	0.490549578366	5
ADPRHL1	2884	0.561373092926	9
ADPRHL2	1691	0.58840922531	6
ADRA1A	3946	0.533958438925	6
ADRA1B	2254	0.637089618456	2
ADRA1D	2666	0.648537134284	2
ADRA2A	3873	0.597469661761	1
ADRA2B	3266	0.594611145132	1
ADRA2C	1958	0.680796731359	1
ADRB1	2862	0.575122292103	1
ADRB2	2042	0.505876591577	1
ADRB3	2646	0.603930461073	2
ADRBK1	3444	0.63356562137	21
ADRBK2	9055	0.424848150193	21
ADRM1	1480	0.643918918919	11
ADSL	1563	0.502879078695	13
ADSS	2782	0.420201294033	13
ADSSL1	2078	0.582771896054	14
ADTRP	1858	0.427341227126	7
AEBP1	4081	0.624111737319	21
AEBP2	9252	0.346627756161	10
AEN	3116	0.559370988447	4
AES	3071	0.590035818951	9
AFAP1	7770	0.523294723295	18
AFAP1-AS1	6794	0.501619075655	2
AFAP1L1	4212	0.530389363723	19
AFAP1L2	4158	0.530784030784	20
AFF1	15390	0.434178037687	24
AFF2	14259	0.433831264465	25
AFF3	8212	0.485143692158	25
AFF4	9580	0.411691022965	21
AFG3L1P	6054	0.539808391146	17
AFG3L2	3209	0.496416329074	17
AFM	1997	0.389083625438	15
AFMID	2296	0.536149825784	13
AFP	2032	0.409448818898	15
AFTPH	5240	0.395229007634	11
AGA	2256	0.418882978723	11
AGAP1	11367	0.538928477171	19
AGAP11	3155	0.486212361331	12
AGAP2	6088	0.629434954008	20
AGAP3	4146	0.63651712494	19
AGAP4	2431	0.512546277252	7
AGAP5	2426	0.506183017312	8
AGAP6	2772	0.521284271284	8
AGAP7	2420	0.513223140496	7
AGAP8	2420	0.512396694215	7
AGAP9	4774	0.516338500209	16
AGBL1	3493	0.501574577727	24
AGBL2	3593	0.438908989702	19
AGBL3	3533	0.410699122559	17
AGBL4	2988	0.465528781794	14
AGBL5	3583	0.556237789562	16
AGER	19124	0.584396569755	126
AGFG1	8824	0.374886672711	15
AGFG2	4811	0.587196009146	12
AGGF1	4508	0.401952085182	14
AGK	2925	0.448888888889	16
AGL	8648	0.381822386679	39
AGMAT	3154	0.512999365885	7
AGMO	2475	0.397171717172	13
AGPAT1	16576	0.579572876448	56
AGPAT2	1548	0.660852713178	6
AGPAT3	6609	0.538810712665	11
AGPAT4	7879	0.478487117655	9
AGPAT4-IT1	1851	0.520799567801	1
AGPAT5	5519	0.391918825874	8
AGPAT6	6310	0.524881141046	13
AGPAT9	3182	0.474230043997	15
AGPHD1	1309	0.46218487395	6
AGPS	7665	0.365949119374	20
AGR2	983	0.428280773143	8
AGR3	750	0.364	8
AGRN	7326	0.675948675949	36
AGRP	764	0.611256544503	4
AGSK1	7679	0.63341580935	24
AGT	2581	0.558310732274	5
AGTPBP1	4419	0.399411631591	26
AGTR1	2571	0.423959548814	5
AGTR2	2899	0.365643325285	3
AGTRAP	1455	0.619243986254	7
AGXT	1598	0.62703379224	11
AGXT2	2406	0.474231088944	14
AGXT2L1	2520	0.455952380952	15
AGXT2L2	2013	0.573273720815	13
AHCTF1	8631	0.392886108215	36
AHCY	2538	0.563041765169	11
AHCYL1	5869	0.499233259499	22
AHCYL2	5887	0.46696110073	20
AHDC1	6496	0.638854679803	7
AHI1	5898	0.391319091217	30
AHNAK	19263	0.493692571251	7
AHNAK2	18317	0.585084893814	7
AHR	6247	0.407395549864	11
AHRR	5660	0.574204946996	12
AHSA1	1400	0.517142857143	9
AHSA2	3031	0.505443747938	6
AHSG	1573	0.545454545455	7
AHSP	506	0.525691699605	3
AICDA	2794	0.420544022906	5
AIDA	3006	0.408183632735	10
AIF1	13212	0.513472600666	54
AIF1L	3691	0.534543484151	9
AIFM1	3564	0.491582491582	19
AIFM2	3441	0.564080209241	10
AIFM3	2742	0.629832239241	23
AIG1	1385	0.445487364621	6
AIM1	7552	0.469809322034	20
AIM1L	5245	0.618493803622	20
AIM2	1484	0.41576819407	6
AIMP1	3260	0.406134969325	9
AIMP2	1219	0.515996718622	4
AIP	1233	0.60502838605	6
AIPL1	2971	0.538875799394	6
AIRE	3649	0.628665387777	16
AJAP1	3317	0.547784142297	7
AJUBA	4811	0.524631053835	9
AK1	2266	0.581200353045	7
AK2	6038	0.459092414707	10
AK3	4621	0.41462886821	8
AK4	7501	0.443407545661	8
AK5	4520	0.477876106195	16
AK7	2648	0.425981873112	18
AK8	2106	0.583095916429	13
AKAP1	5852	0.522898154477	16
AKAP10	2916	0.450960219479	15
AKAP11	9920	0.373185483871	13
AKAP12	8789	0.470474456707	6
AKAP13	13418	0.493665225816	39
AKAP14	1004	0.4203187251	8
AKAP17A	10268	0.597584729256	14
AKAP2	7098	0.466892082277	6
AKAP3	3020	0.479470198675	5
AKAP4	3344	0.465311004785	8
AKAP5	6487	0.369045783875	2
AKAP6	10387	0.416867237894	14
AKAP7	3461	0.400462294135	10
AKAP8	3543	0.522156364663	14
AKAP8L	2114	0.595553453169	14
AKAP9	12616	0.381816740647	51
AKD1	7733	0.383938962886	42
AKIP1	1788	0.56096196868	7
AKIRIN1	2726	0.450110051357	5
AKIRIN2	1932	0.509316770186	5
AKIRIN2-AS1	444	0.443693693694	2
AKNA	7383	0.590952187458	22
AKNAD1	3048	0.424212598425	16
AKR1A1	1864	0.579399141631	12
AKR1B1	1398	0.533619456366	10
AKR1B10	1596	0.474937343358	10
AKR1B15	1625	0.490461538462	12
AKR1C1	1379	0.472806381436	9
AKR1C2	4155	0.412515042118	12
AKR1C3	2097	0.436337625179	11
AKR1C4	1192	0.460570469799	9
AKR1CL1	2127	0.448519040903	8
AKR1D1	2710	0.405166051661	9
AKR1E2	1607	0.516490354698	10
AKR7A2	2619	0.550973654066	7
AKR7A2P1	1324	0.53247734139	1
AKR7A3	1241	0.604351329573	7
AKR7L	2314	0.512532411409	7
AKT1	3332	0.607442977191	16
AKT1S1	2856	0.615896358543	7
AKT2	5393	0.583163359911	15
AKT3	7459	0.400992090093	17
AKTIP	2334	0.42116538132	11
ALAD	3183	0.525604775369	12
ALAS1	2452	0.518760195759	12
ALAS2	2134	0.551077788191	12
ALB	2247	0.414330218069	15
ALCAM	6711	0.388615705558	18
ALDH16A1	3106	0.649066323245	17
ALDH18A1	3616	0.497234513274	19
ALDH1A1	2369	0.415365132967	13
ALDH1A2	3940	0.481218274112	15
ALDH1A3	3495	0.476967095851	13
ALDH1B1	3070	0.520846905537	2
ALDH1L1	3125	0.5792	23
ALDH1L2	7759	0.422219358165	25
ALDH2	2060	0.550485436893	13
ALDH3A1	2440	0.606967213115	13
ALDH3A2	5861	0.440709776489	12
ALDH3B1	2930	0.606825938567	11
ALDH3B2	2689	0.595388620305	11
ALDH4A1	4096	0.593017578125	18
ALDH5A1	5170	0.472147001934	11
ALDH6A1	2180	0.474311926606	12
ALDH7A1	4936	0.458063209076	18
ALDH8A1	2558	0.485535574668	7
ALDH9A1	2500	0.4668	11
ALDOA	3314	0.615570307785	18
ALDOB	2426	0.444352844188	9
ALDOC	1651	0.556026650515	9
ALG1	3934	0.522369089985	13
ALG10	3127	0.385673169172	3
ALG10B	10074	0.328767123288	3
ALG11	2565	0.418323586745	4
ALG12	2373	0.597977243995	10
ALG13	7298	0.409290216498	33
ALG14	1057	0.431409649953	4
ALG1L	921	0.558089033659	7
ALG1L2	969	0.559339525284	8
ALG2	2989	0.440615590498	3
ALG3	2023	0.59169550173	11
ALG5	1285	0.424902723735	11
ALG6	3371	0.357164046277	15
ALG8	1743	0.436603557085	14
ALG9	6795	0.438116261957	18
ALK	6265	0.580047885076	29
ALKBH1	2585	0.449516441006	6
ALKBH2	1617	0.542362399505	6
ALKBH3	1569	0.509241555131	10
ALKBH4	2121	0.58510136728	3
ALKBH5	3433	0.586367608506	4
ALKBH6	1489	0.640698455339	9
ALKBH7	1331	0.628099173554	4
ALKBH8	4067	0.391689205803	12
ALLC	1444	0.496537396122	12
ALMS1	12922	0.443661971831	23
ALMS1P	1592	0.479899497487	7
ALOX12	2358	0.569126378287	14
ALOX12B	2502	0.585931254996	15
ALOX12P2	2768	0.534320809249	14
ALOX15	2684	0.546199701937	14
ALOX15B	2872	0.577646239554	15
ALOX15P1	672	0.568452380952	5
ALOX5	2644	0.560892586989	15
ALOX5AP	1395	0.486738351254	7
ALOXE3	3454	0.580775911986	17
ALPI	2550	0.621568627451	11
ALPK1	5581	0.454757211969	17
ALPK2	7300	0.476575342466	13
ALPK3	10917	0.573784006595	14
ALPL	2596	0.597457627119	12
ALPP	2867	0.613882106732	11
ALPPL2	2494	0.624298315958	11
ALS2	9279	0.442720120703	35
ALS2CL	5790	0.6	30
ALS2CR11	7707	0.340858959388	17
ALS2CR12	2103	0.429386590585	16
ALS2CR8	5999	0.390231705284	18
ALX1	1293	0.447022428461	4
ALX3	1478	0.649526387009	4
ALX4	5466	0.590193926089	4
ALYREF	1097	0.574293527803	6
AMACR	5120	0.4353515625	7
AMBN	2002	0.453046953047	13
AMBP	1433	0.569434752268	10
AMBRA1	5023	0.553653195302	19
AMD1	3852	0.388369678089	10
AMDHD1	2136	0.457865168539	9
AMDHD2	2334	0.658097686375	12
AMELX	835	0.518562874251	7
AMELY	802	0.514962593516	6
AMFR	3594	0.522259321091	14
AMH	2018	0.720019821606	5
AMHR2	1996	0.586172344689	12
AMICA1	2412	0.484660033167	11
AMIGO1	2471	0.568595710239	2
AMIGO2	6417	0.437587657784	4
AMIGO3	2972	0.637954239569	1
AMMECR1	6158	0.41766807405	9
AMMECR1L	4776	0.473827470687	9
AMN	1557	0.712909441233	12
AMN1	2294	0.406713164778	8
AMOT	7386	0.475223395613	13
AMOTL1	8999	0.489276586287	13
AMOTL2	4984	0.565208667737	10
AMPD1	2406	0.445968412303	16
AMPD2	4711	0.610061558056	20
AMPD3	5659	0.510514225128	19
AMPH	3426	0.501751313485	21
AMT	3050	0.555409836066	12
AMTN	996	0.440763052209	9
AMY1A	6090	0.424137931034	36
AMY1B	5514	0.421653971708	33
AMY1C	5580	0.423655913978	33
AMY2A	1632	0.408700980392	10
AMY2B	2179	0.388710417623	12
AMZ1	4415	0.596602491506	7
AMZ2	2246	0.508014247551	11
AMZ2P1	3442	0.437826844858	5
ANAPC1	7736	0.445449844881	48
ANAPC10	2042	0.401567091087	10
ANAPC11	1588	0.619017632242	8
ANAPC13	2201	0.484325306679	5
ANAPC16	3642	0.452224052718	6
ANAPC2	2700	0.635555555556	13
ANAPC4	2672	0.408308383234	29
ANAPC5	2875	0.499130434783	19
ANAPC7	3795	0.459815546772	12
ANG	1324	0.551359516616	3
ANGEL1	4111	0.5429335928	10
ANGEL2	4649	0.389546138955	9
ANGPT1	4568	0.361646234676	10
ANGPT2	5395	0.384430027804	10
ANGPT4	1921	0.601769911504	9
ANGPTL1	3546	0.363508178229	6
ANGPTL2	3572	0.543673012318	5
ANGPTL3	2126	0.326434619003	7
ANGPTL4	1903	0.633210719916	7
ANGPTL5	2368	0.33910472973	9
ANGPTL6	1857	0.652127086699	6
ANGPTL7	2238	0.482126899017	5
ANK1	9420	0.590445859873	48
ANK2	14521	0.463122374492	49
ANK3	18843	0.432998991668	50
ANKAR	4416	0.372282608696	23
ANKDD1A	3112	0.477506426735	15
ANKFN1	2426	0.460840890354	17
ANKFY1	8659	0.48573738307	26
ANKH	8207	0.461679054466	12
ANKHD1	8584	0.457129543336	36
ANKHD1-EIF4EBP3	8349	0.470834830519	36
ANKIB1	6081	0.41424107877	20
ANKK1	2543	0.598505701927	8
ANKLE1	3217	0.60149207336	9
ANKLE2	4458	0.50134589502	13
ANKMY1	3405	0.593245227606	18
ANKMY2	2555	0.426614481409	10
ANKRA2	2198	0.411737943585	9
ANKRD1	1974	0.433637284701	9
ANKRD10	2495	0.476953907816	6
ANKRD11	10350	0.571787439614	18
ANKRD12	11623	0.360664200293	14
ANKRD13A	3908	0.475179119754	15
ANKRD13B	3173	0.642924676962	15
ANKRD13C	5667	0.386094935592	13
ANKRD13D	2483	0.657672170761	17
ANKRD16	2829	0.583951926476	9
ANKRD17	9375	0.450986666667	34
ANKRD18A	3738	0.381487426431	16
ANKRD18B	3753	0.371169730882	16
ANKRD18DP	2895	0.394473229706	10
ANKRD19P	2307	0.512787169484	10
ANKRD2	1451	0.614748449345	9
ANKRD20A1	3511	0.379663913415	15
ANKRD20A11P	1089	0.570247933884	6
ANKRD20A2	7022	0.379094275135	30
ANKRD20A3	11892	0.380844265052	45
ANKRD20A4	3517	0.377594540802	15
ANKRD20A5P	3707	0.381440517939	16
ANKRD20A8P	3670	0.388010899183	24
ANKRD20A9P	37567	0.375302792344	1
ANKRD22	3983	0.385387898569	6
ANKRD23	2582	0.601859024012	9
ANKRD24	4026	0.646050670641	22
ANKRD26	6947	0.369655966604	35
ANKRD26P1	6123	0.420872121509	17
ANKRD26P3	3726	0.424047235641	21
ANKRD27	4453	0.491803278689	29
ANKRD28	6620	0.403927492447	30
ANKRD29	2273	0.458864936208	10
ANKRD30A	4405	0.389103291714	36
ANKRD30B	4617	0.395711500975	36
ANKRD30BL	2168	0.508763837638	8
ANKRD30BP2	3418	0.44558221182	12
ANKRD31	6036	0.379887342611	25
ANKRD32	3813	0.367427222659	21
ANKRD33	3158	0.572514249525	9
ANKRD33B	9333	0.531018964963	4
ANKRD34A	3612	0.583333333333	4
ANKRD34B	3935	0.396950444727	5
ANKRD34C	5424	0.429019174041	2
ANKRD35	3363	0.589652096343	14
ANKRD36	6268	0.4089023612	76
ANKRD36B	5986	0.408286000668	44
ANKRD36BP1	1850	0.369189189189	1
ANKRD36BP2	1730	0.410404624277	17
ANKRD37	934	0.506423982869	5
ANKRD39	898	0.574610244989	4
ANKRD40	4169	0.469417126409	5
ANKRD42	2562	0.428571428571	10
ANKRD44	6564	0.409506398537	29
ANKRD45	2671	0.44065892924	6
ANKRD46	2779	0.379992803167	6
ANKRD49	1905	0.37532808399	3
ANKRD5	3823	0.434213968088	11
ANKRD50	12260	0.373491027732	6
ANKRD52	8656	0.566543438078	28
ANKRD53	2120	0.617924528302	7
ANKRD54	2193	0.599179206566	9
ANKRD55	2500	0.4684	12
ANKRD6	6307	0.451086094815	19
ANKRD62P1-PARP4P3	1538	0.390117035111	9
ANKRD63	1143	0.738407699038	1
ANKRD65	2382	0.661628883291	5
ANKRD7	1357	0.386145910096	7
ANKRD9	1626	0.722632226322	4
ANKS1A	6351	0.551251771375	24
ANKS1B	11680	0.413869863014	35
ANKS3	3082	0.631408176509	20
ANKS4B	2906	0.483826565726	2
ANKS6	7147	0.547362529733	15
ANKUB1	2473	0.415285078852	6
ANKZF1	2650	0.561886792453	15
ANLN	4770	0.398951781971	24
ANO1	5907	0.526155408837	29
ANO10	2854	0.489488437281	14
ANO2	3717	0.508474576271	26
ANO3	5936	0.389824797844	27
ANO4	4120	0.441504854369	27
ANO5	6709	0.374869578179	23
